timestamp_sec,intensity
0.000,0.000
0.933,20.000
1.865,93.700
4.663,100.000
7.461,106.300
10.258,45.800
13.989,31.500
17.719,17.200
19.584,28.600
23.314,28.400
27.044,28.100
28.910,29.000
32.640,30.300
36.370,31.500
38.235,29.800
41.966,34.600
45.696,39.300
47.561,51.100
51.291,54.000
55.022,56.800
56.887,55.000
60.617,48.800
64.347,42.500
66.212,27.500
69.943,22.600
73.673,17.700
75.538,20.700
79.268,24.100
82.999,27.500
84.864,36.700
88.594,39.600
92.324,42.500
94.189,40.100
97.920,38.500
101.650,37.000
103.515,30.400
107.245,31.700
110.976,33.100
112.841,39.700
116.571,45.200
120.301,50.800
122.166,58.700
125.897,59.600
129.627,60.400
131.492,55.700
135.222,49.400
138.953,43.100
140.818,31.000
144.548,28.300
148.278,25.600
150.144,39.100
153.874,35.900
157.604,32.700
159.469,17.500
163.199,12.300
166.930,7.100
168.795,-4.400
172.525,10.000
176.255,24.400
178.121,84.300
181.851,84.300
185.581,84.300
187.446,23.100
191.177,10.000
194.907,-3.100
196.772,17.100
200.502,18.800
204.232,20.500
206.098,20.500
209.828,18.700
213.558,17.000
215.423,9.900
219.154,10.000
222.884,10.100
224.749,16.600
228.479,19.400
232.210,22.200
234.075,25.900
237.805,24.000
241.535,22.200
243.400,12.800
247.131,10.000
250.861,7.200
252.726,8.800
256.456,10.000
260.187,11.200
262.052,14.000
265.782,15.900
269.512,17.700
271.377,19.400
275.108,19.100
278.838,18.800
280.703,14.300
284.433,14.500
288.164,14.600
290.029,18.400
293.759,19.800
297.489,21.200
299.354,22.900
303.085,21.500
306.815,20.200
308.680,15.600
312.410,13.300
316.141,10.900
318.006,10.700
321.736,10.000
325.466,9.300
327.332,10.000
331.062,10.000
334.792,10.000
336.657,7.400
340.387,10.000
344.118,12.600
345.983,13.100
349.713,23.000
353.443,32.900
355.309,59.600
359.039,59.500
362.769,59.500
364.634,24.900
368.365,22.600
372.095,20.300
373.960,43.800
377.690,47.900
381.420,52.100
383.286,50.600
387.016,43.400
390.746,36.300
392.611,16.700
396.342,12.200
400.072,7.700
401.937,15.700
405.667,20.900
409.398,26.100
411.263,35.200
414.993,38.100
418.723,41.100
420.588,38.000
424.319,35.600
428.049,33.200
429.914,29.900
433.644,26.100
437.375,22.200
439.240,19.500
442.970,16.300
446.700,13.100
448.565,11.200
452.296,10.000
456.026,8.800
457.891,9.400
461.621,10.100
465.352,10.700
467.217,10.600
470.947,13.300
474.677,15.900
476.542,22.900
480.273,23.400
484.003,23.900
485.868,17.800
489.598,15.700
493.329,13.600
495.194,14.000
498.924,12.900
502.654,11.700
504.520,10.600
508.250,10.000
511.980,9.400
513.845,10.000
517.575,10.000
521.306,10.000
523.171,7.900
526.901,10.000
530.631,12.100
532.497,18.000
536.227,20.700
539.957,23.300
541.822,24.600
545.553,23.300
549.283,22.000
551.148,16.900
554.878,14.200
558.608,11.600
560.474,10.800
564.204,10.000
567.934,9.200
569.799,10.000
573.530,10.000
577.260,10.000
579.125,10.000
582.855,10.000
586.586,10.000
588.451,3.200
592.181,10.000
595.911,16.800
597.776,44.200
601.507,44.200
605.237,44.200
607.102,16.800
610.832,10.000
614.563,3.200
616.428,10.000
620.158,10.000
623.888,10.000
625.753,8.100
629.484,10.000
633.214,11.900
635.079,14.500
638.809,19.700
642.540,24.900
644.405,33.600
648.135,36.100
651.865,38.600
653.730,35.600
657.461,32.200
661.191,28.800
663.056,22.500
666.786,19.000
670.517,15.600
672.382,16.000
676.112,15.200
679.842,14.400
681.708,14.100
685.438,15.100
689.168,16.100
691.033,20.300
694.763,20.100
698.494,20.000
700.359,15.700
704.089,14.300
707.819,12.900
709.685,12.100
713.415,13.100
717.145,14.100
719.010,15.700
722.741,19.200
726.471,22.800
728.336,28.700
732.066,30.800
735.796,32.900
737.662,33.200
741.392,29.600
745.122,26.000
746.987,15.900
750.718,12.700
754.448,9.600
756.313,13.800
760.043,13.900
763.774,13.900
765.639,13.100
769.369,12.900
773.099,12.600
774.964,13.300
778.695,12.700
782.425,12.100
784.290,10.500
788.020,10.000
791.751,9.500
793.616,10.000
797.346,10.000
801.076,10.000
802.941,10.000
806.672,10.000
810.402,10.000
812.267,9.200
815.997,10.000
819.728,10.800
821.593,12.700
825.323,13.900
829.053,15.100
830.918,15.600
834.649,15.900
838.379,16.200
840.244,16.100
843.974,15.400
847.705,14.700
849.570,13.600
853.300,12.600
857.030,11.500
858.896,10.500
862.626,10.000
866.356,9.500
868.221,10.000
871.951,10.000
875.682,10.000
877.547,10.000
881.277,10.000
885.007,10.000
886.873,10.000
890.603,10.000
894.333,10.000
896.198,10.000
899.929,10.000
903.659,10.000
905.524,10.000
909.254,10.000
912.984,10.000
914.850,10.000
918.580,10.000
922.310,10.000
925.108,10.000
927.906,10.000
930.703,10.000
931.636,12.000
932.568,10.000
933.501,8.000
932.568,2.000
932.568,0.000
